REPORT_DATE,TotalPositiveCases,TotalDeaths,Country
1/5/2020,0,0,Brazil
1/12/2020,0,0,Brazil
1/19/2020,0,0,Brazil
1/26/2020,0,0,Brazil
2/2/2020,0,0,Brazil
2/9/2020,0,0,Brazil
2/16/2020,0,0,Brazil
2/23/2020,0,0,Brazil
3/1/2020,2,0,Brazil
3/8/2020,11,0,Brazil
3/15/2020,108,0,Brazil
3/22/2020,1007,18,Brazil
3/29/2020,2776,96,Brazil
4/5/2020,6374,318,Brazil
4/12/2020,10449,692,Brazil
4/19/2020,15872,1223,Brazil
4/26/2020,21910,1669,Brazil
5/3/2020,38050,2734,Brazil
5/10/2020,59380,3877,Brazil
5/17/2020,77203,5006,Brazil
5/24/2020,114256,6380,Brazil
5/31/2020,151042,6821,Brazil
6/7/2020,174397,7096,Brazil
6/14/2020,177677,6790,Brazil
6/21/2020,217065,7256,Brazil
6/28/2020,246088,7094,Brazil
7/5/2020,263337,7195,Brazil
7/12/2020,262846,7204,Brazil
7/19/2020,235010,7303,Brazil
7/21/2020,43786,1348,Brazil
1/5/2020,0,0,Chile
1/12/2020,0,0,Chile
1/19/2020,0,0,Chile
1/26/2020,0,0,Chile
2/2/2020,0,0,Chile
2/9/2020,0,0,Chile
2/16/2020,0,0,Chile
2/23/2020,0,0,Chile
3/1/2020,0,0,Chile
3/8/2020,5,0,Chile
3/15/2020,56,0,Chile
3/22/2020,476,0,Chile
3/29/2020,1372,6,Chile
4/5/2020,2252,21,Chile
4/12/2020,2766,46,Chile
4/19/2020,2803,53,Chile
4/26/2020,3128,55,Chile
5/3/2020,5577,66,Chile
5/10/2020,8784,57,Chile
5/17/2020,14209,117,Chile
5/24/2020,23965,252,Chile
5/31/2020,29465,324,Chile
6/7/2020,32887,544,Chile
6/14/2020,39610,1560,Chile
6/21/2020,69393,1194,Chile
6/28/2020,31018,1052,Chile
7/5/2020,24081,845,Chile
7/12/2020,20182,689,Chile
7/19/2020,14510,1466,Chile
7/21/2020,6490,286,Chile
1/5/2020,0,0,India
1/12/2020,0,0,India
1/19/2020,0,0,India
1/26/2020,0,0,India
2/2/2020,2,0,India
2/9/2020,1,0,India
2/16/2020,0,0,India
2/23/2020,0,0,India
3/1/2020,0,0,India
3/8/2020,31,0,India
3/15/2020,56,2,India
3/22/2020,230,2,India
